sim_time, my_bot/azimuth_joint?0/velocity
420.389, 0.217981
420.39, 0.217981
420.391, 0.217981
420.392, 0.217981
420.393, 0.217981
420.394, 0.217981
420.395, 0.217981
420.396, 0.217981
420.397, 0.217981
420.398, 0.225819
420.399, 0.225819
420.4, 0.225819
420.401, 0.225819
420.402, 0.225819
420.403, 0.225819
420.404, 0.225819
420.405, 0.225819
420.406, 0.225819
420.407, 0.225819
420.408, 0.225819
420.409, 0.225819
420.41, 0.225819
420.411, 0.225819
420.412, 0.225819
420.413, 0.225819
420.414, 0.225819
420.415, 0.225819
420.416, 0.225819
420.417, 0.225819
420.418, 0.217635
420.419, 0.217635
420.42, 0.217635
420.421, 0.217635
420.422, 0.217635
420.423, 0.217635
420.424, 0.217635
420.425, 0.217635
420.426, 0.217635
420.427, 0.217635
420.428, 0.225827
420.429, 0.225827
420.43, 0.225827
420.431, 0.225827
420.432, 0.225827
420.433, 0.225827
420.434, 0.225827
420.435, 0.225827
420.436, 0.225827
420.437, 0.225827
420.438, 0.225174
420.439, 0.225174
420.44, 0.225174
420.441, 0.225174
420.442, 0.225174
420.443, 0.225174
420.444, 0.225174
420.445, 0.225174
420.446, 0.225174
420.447, 0.225174
420.448, 0.216815
420.449, 0.216815
420.45, 0.216815
420.451, 0.216815
420.452, 0.216815
420.453, 0.216815
420.454, 0.216815
420.455, 0.216815
420.456, 0.216815
420.457, 0.216815
420.458, 0.216815
420.459, 0.216815
420.46, 0.216815
420.461, 0.216815
420.462, 0.216815
420.463, 0.216815
420.464, 0.216815
420.465, 0.216815
420.466, 0.216815
420.467, 0.216815
420.468, 0.225169
420.469, 0.225169
420.47, 0.225169
420.471, 0.225169
420.472, 0.225169
420.473, 0.225169
420.474, 0.225169
420.475, 0.225169
420.476, 0.225169
420.477, 0.225169
420.478, 0.225169
420.479, 0.225169
420.48, 0.225169
420.481, 0.225169
420.482, 0.225169
420.483, 0.225169
420.484, 0.225169
420.485, 0.225169
420.486, 0.225169
420.487, 0.225169
420.488, 0.232529
420.489, 0.232529
420.49, 0.232529
420.491, 0.232529
420.492, 0.232529
420.493, 0.232529
420.494, 0.232529
420.495, 0.232529
420.496, 0.232529
420.497, 0.232529
420.498, 0.223228
420.499, 0.223228
420.5, 0.223228
420.501, 0.223228
420.502, 0.223228
420.503, 0.223228
420.504, 0.223228
420.505, 0.223228
420.506, 0.223228
420.507, 0.223228
420.508, 0.223228
420.509, 0.223228
420.51, 0.223228
420.511, 0.223228
420.512, 0.223228
420.513, 0.223228
420.514, 0.223228
420.515, 0.223228
420.516, 0.223228
420.517, 0.223228
420.518, 0.23161
420.519, 0.23161
420.52, 0.23161
420.521, 0.23161
420.522, 0.23161
420.523, 0.23161
420.524, 0.23161
420.525, 0.23161
420.526, 0.23161
420.527, 0.23161
420.528, 0.23161
420.529, 0.23161
420.53, 0.23161
420.531, 0.23161
420.532, 0.23161
420.533, 0.23161
420.534, 0.23161
420.535, 0.23161
420.536, 0.23161
420.537, 0.23161
420.538, 0.222454
420.539, 0.222454
420.54, 0.222454
420.541, 0.222454
420.542, 0.222454
420.543, 0.222454
420.544, 0.222454
420.545, 0.222454
420.546, 0.222454
420.547, 0.222454
420.548, 0.222454
420.549, 0.222454
420.55, 0.222454
420.551, 0.222454
420.552, 0.222454
420.553, 0.222454
420.554, 0.222454
420.555, 0.222454
420.556, 0.222454
420.557, 0.222454
420.558, 0.234285
420.559, 0.234285
420.56, 0.234285
420.561, 0.234285
420.562, 0.234285
420.563, 0.234285
420.564, 0.234285
420.565, 0.234285
420.566, 0.234285
420.567, 0.234285
420.568, 0.220947
420.569, 0.220947
420.57, 0.220947
420.571, 0.220947
420.572, 0.220947
420.573, 0.220947
420.574, 0.220947
420.575, 0.220947
420.576, 0.220947
420.577, 0.220947
420.578, 0.220947
420.579, 0.220947
420.58, 0.220947
420.581, 0.220947
420.582, 0.220947
420.583, 0.220947
420.584, 0.220947
420.585, 0.220947
420.586, 0.220947
420.587, 0.220947
420.588, 0.228573
420.589, 0.228573
420.59, 0.228573
420.591, 0.228573
420.592, 0.228573
420.593, 0.228573
420.594, 0.228573
420.595, 0.228573
420.596, 0.228573
420.597, 0.228573
420.598, 0.228573
420.599, 0.228573
420.6, 0.228573
420.601, 0.228573
420.602, 0.228573
420.603, 0.228573
420.604, 0.228573
420.605, 0.228573
420.606, 0.228573
420.607, 0.228573
420.608, 0.22436
420.609, 0.22436
420.61, 0.22436
420.611, 0.22436
420.612, 0.22436
420.613, 0.22436
420.614, 0.22436
420.615, 0.22436
420.616, 0.22436
420.617, 0.22436
420.618, 0.227321
420.619, 0.227321
420.62, 0.227321
420.621, 0.227321
420.622, 0.227321
420.623, 0.227321
420.624, 0.227321
420.625, 0.227321
420.626, 0.227321
420.627, 0.227321
420.628, 0.227321
420.629, 0.227321
420.63, 0.227321
420.631, 0.227321
420.632, 0.227321
420.633, 0.227321
420.634, 0.227321
420.635, 0.227321
420.636, 0.227321
420.637, 0.227321
420.638, 0.218632
420.639, 0.218632
420.64, 0.218632
420.641, 0.218632
420.642, 0.218632
420.643, 0.218632
420.644, 0.218632
420.645, 0.218632
420.646, 0.218632
420.647, 0.218632
420.648, 0.218632
420.649, 0.218632
420.65, 0.218632
420.651, 0.218632
