sim_time, animated_rocket?world_pose/position/z
204.633, 0.999773
204.634, 0.999773
204.635, 0.999773
204.636, 0.999773
204.637, 0.999773
204.638, 0.999773
204.639, 0.999773
204.64, 0.999773
204.641, 0.999773
204.642, 0.999773
204.643, 0.999773
204.644, 0.999773
204.645, 0.999773
204.646, 0.999764
204.647, 0.999764
204.648, 0.999764
204.649, 0.999764
204.65, 0.999764
204.651, 0.999764
204.652, 0.999764
204.653, 0.999764
204.654, 0.999764
204.655, 0.999764
204.656, 0.999764
204.657, 0.999764
204.658, 0.999764
204.659, 0.999764
204.66, 0.999764
204.661, 0.999764
204.662, 0.999764
204.663, 0.999764
204.664, 0.999764
204.665, 0.999764
204.666, 0.999764
204.667, 0.999764
204.668, 0.999764
204.669, 0.999764
204.67, 0.999764
204.671, 0.999764
204.672, 0.999764
204.673, 0.999764
204.674, 0.999764
204.675, 0.999764
204.676, 0.999764
204.677, 0.999764
204.678, 0.999764
204.679, 0.999764
204.68, 0.999755
204.681, 0.999755
204.682, 0.999755
204.683, 0.999755
204.684, 0.999755
204.685, 0.999755
204.686, 0.999755
204.687, 0.999755
204.688, 0.999755
204.689, 0.999755
204.69, 0.999755
204.691, 0.999755
204.692, 0.999755
204.693, 0.999755
204.694, 0.999755
204.695, 0.999755
204.696, 0.999755
204.697, 0.999755
204.698, 0.999755
204.699, 0.999755
204.7, 0.999755
204.701, 0.999755
204.702, 0.999755
204.703, 0.999755
204.704, 0.999755
204.705, 0.999755
204.706, 0.999755
204.707, 0.999755
204.708, 0.999755
204.709, 0.999755
204.71, 0.999755
204.711, 0.999755
204.712, 0.999755
204.713, 0.999755
204.714, 0.999746
204.715, 0.999746
204.716, 0.999746
204.717, 0.999746
204.718, 0.999746
204.719, 0.999746
204.72, 0.999746
204.721, 0.999746
204.722, 0.999746
204.723, 0.999746
204.724, 0.999746
204.725, 0.999746
204.726, 0.999746
204.727, 0.999746
204.728, 0.999746
204.729, 0.999746
204.73, 0.999746
204.731, 0.999746
204.732, 0.999746
204.733, 0.999746
204.734, 0.999746
204.735, 0.999746
204.736, 0.999746
204.737, 0.999746
204.738, 0.999746
204.739, 0.999746
204.74, 0.999746
204.741, 0.999746
204.742, 0.999746
204.743, 0.999746
204.744, 0.999746
204.745, 0.999746
204.746, 0.999746
204.747, 0.999746
204.748, 0.999737
204.749, 0.999737
204.75, 0.999737
204.751, 0.999737
204.752, 0.999737
204.753, 0.999737
204.754, 0.999737
204.755, 0.999737
204.756, 0.999737
204.757, 0.999737
204.758, 0.999737
204.759, 0.999737
204.76, 0.999737
204.761, 0.999737
204.762, 0.999737
204.763, 0.999737
204.764, 0.999737
204.765, 0.999737
204.766, 0.999737
204.767, 0.999737
204.768, 0.999737
204.769, 0.999737
204.77, 0.999737
204.771, 0.999737
204.772, 0.999737
204.773, 0.999737
204.774, 0.999737
204.775, 0.999737
204.776, 0.999737
204.777, 0.999737
204.778, 0.999737
204.779, 0.999737
204.78, 0.999737
204.781, 0.999737
204.782, 0.999728
204.783, 0.999728
204.784, 0.999728
204.785, 0.999728
204.786, 0.999728
204.787, 0.999728
204.788, 0.999728
204.789, 0.999728
204.79, 0.999728
204.791, 0.999728
204.792, 0.999728
204.793, 0.999728
204.794, 0.999728
204.795, 0.999728
204.796, 0.999728
204.797, 0.999728
204.798, 0.999728
204.799, 0.999728
204.8, 0.999728
204.801, 0.999728
204.802, 0.999728
204.803, 0.999728
204.804, 0.999728
204.805, 0.999728
204.806, 0.999728
204.807, 0.999728
204.808, 0.999728
204.809, 0.999728
204.81, 0.999728
204.811, 0.999728
204.812, 0.999728
204.813, 0.999728
204.814, 0.999728
204.815, 0.999728
204.816, 0.999719
204.817, 0.999719
204.818, 0.999719
204.819, 0.999719
204.82, 0.999719
204.821, 0.999719
204.822, 0.999719
204.823, 0.999719
204.824, 0.999719
204.825, 0.999719
204.826, 0.999719
204.827, 0.999719
204.828, 0.999719
204.829, 0.999719
204.83, 0.999719
204.831, 0.999719
204.832, 0.999719
204.833, 0.999719
204.834, 0.999719
204.835, 0.999719
204.836, 0.999719
204.837, 0.999719
204.838, 0.999719
204.839, 0.999719
204.84, 0.999719
204.841, 0.999719
204.842, 0.999719
204.843, 0.999719
204.844, 0.999719
204.845, 0.999719
204.846, 0.999719
204.847, 0.999719
204.848, 0.999719
204.849, 0.999719
204.85, 0.99971
204.851, 0.99971
204.852, 0.99971
204.853, 0.99971
204.854, 0.99971
204.855, 0.99971
204.856, 0.99971
204.857, 0.99971
204.858, 0.99971
204.859, 0.99971
204.86, 0.99971
204.861, 0.99971
204.862, 0.99971
204.863, 0.99971
204.864, 0.99971
204.865, 0.99971
204.866, 0.99971
204.867, 0.99971
204.868, 0.99971
204.869, 0.99971
204.87, 0.99971
204.871, 0.99971
204.872, 0.99971
204.873, 0.99971
204.874, 0.99971
204.875, 0.99971
204.876, 0.99971
204.877, 0.99971
204.878, 0.99971
204.879, 0.99971
204.88, 0.99971
204.881, 0.99971
204.882, 0.99971
204.883, 0.99971
204.884, 0.999702
204.885, 0.999702
204.886, 0.999702
204.887, 0.999702
204.888, 0.999702
204.889, 0.999702
204.89, 0.999702
204.891, 0.999702
204.892, 0.999702
204.893, 0.999702
204.894, 0.999702
204.895, 0.999702
204.896, 0.999702
204.897, 0.999702
204.898, 0.999702
204.899, 0.999702
204.9, 0.999702
204.901, 0.999702
204.902, 0.999702
204.903, 0.999702
204.904, 0.999702
204.905, 0.999702
204.906, 0.999702
204.907, 0.999702
204.908, 0.999702
204.909, 0.999702
204.91, 0.999702
204.911, 0.999702
204.912, 0.999702
204.913, 0.999702
204.914, 0.999702
204.915, 0.999702
204.916, 0.999702
204.917, 0.999702
204.918, 0.999694
204.919, 0.999694
204.92, 0.999694
204.921, 0.999694
204.922, 0.999694
204.923, 0.999694
204.924, 0.999694
204.925, 0.999694
204.926, 0.999694
204.927, 0.999694
204.928, 0.999694
204.929, 0.999694
204.93, 0.999694
204.931, 0.999694
204.932, 0.999694
204.933, 0.999694
204.934, 0.999694
204.935, 0.999694
204.936, 0.999694
204.937, 0.999694
204.938, 0.999694
204.939, 0.999694
204.94, 0.999694
204.941, 0.999694
204.942, 0.999694
204.943, 0.999694
204.944, 0.999694
204.945, 0.999694
204.946, 0.999694
204.947, 0.999694
204.948, 0.999694
204.949, 0.999694
204.95, 0.999694
204.951, 0.999694
204.952, 0.999685
204.953, 0.999685
204.954, 0.999685
204.955, 0.999685
204.956, 0.999685
204.957, 0.999685
204.958, 0.999685
204.959, 0.999685
204.96, 0.999685
204.961, 0.999685
204.962, 0.999685
204.963, 0.999685
204.964, 0.999685
204.965, 0.999685
204.966, 0.999685
204.967, 0.999685
204.968, 0.999685
