sim_time, my_bot/altitude_joint?0/velocity
420.313, -0.0386063
420.314, -0.0386063
420.315, -0.0386063
420.316, -0.0386063
420.317, -0.0386063
420.318, -0.0386063
420.319, -0.0386063
420.32, -0.0386063
420.321, -0.0386063
420.322, -0.0386063
420.323, -0.0386063
420.324, -0.0386063
420.325, -0.0386063
420.326, -0.0386063
420.327, -0.0386063
420.328, -0.0483609
420.329, -0.0483609
420.33, -0.0483609
420.331, -0.0483609
420.332, -0.0483609
420.333, -0.0483609
420.334, -0.0483609
420.335, -0.0483609
420.336, -0.0483609
420.337, -0.0483609
420.338, -0.0483609
420.339, -0.0483609
420.34, -0.0483609
420.341, -0.0483609
420.342, -0.0483609
420.343, -0.0483609
420.344, -0.0483609
420.345, -0.0483609
420.346, -0.0483609
420.347, -0.0483609
420.348, -0.0423025
420.349, -0.0423025
420.35, -0.0423025
420.351, -0.0423025
420.352, -0.0423025
420.353, -0.0423025
420.354, -0.0423025
420.355, -0.0423025
420.356, -0.0423025
420.357, -0.0423025
420.358, -0.0423025
420.359, -0.0423025
420.36, -0.0423025
420.361, -0.0423025
420.362, -0.0423025
420.363, -0.0423025
420.364, -0.0423025
420.365, -0.0423025
420.366, -0.0423025
420.367, -0.0423025
420.368, -0.0490718
420.369, -0.0490718
420.37, -0.0490718
420.371, -0.0490718
420.372, -0.0490718
420.373, -0.0490718
420.374, -0.0490718
420.375, -0.0490718
420.376, -0.0490718
420.377, -0.0490718
420.378, -0.0423649
420.379, -0.0423649
420.38, -0.0423649
420.381, -0.0423649
420.382, -0.0423649
420.383, -0.0423649
420.384, -0.0423649
420.385, -0.0423649
420.386, -0.0423649
420.387, -0.0423648
420.388, -0.0423648
420.389, -0.0423648
420.39, -0.0423648
420.391, -0.0423648
420.392, -0.0423648
420.393, -0.0423648
420.394, -0.0423648
420.395, -0.0423648
420.396, -0.0423648
420.397, -0.0423648
420.398, -0.0488413
420.399, -0.0488413
420.4, -0.0488413
420.401, -0.0488413
420.402, -0.0488413
420.403, -0.0488413
420.404, -0.0488413
420.405, -0.0488413
420.406, -0.0488413
420.407, -0.0488413
420.408, -0.0488413
420.409, -0.0488413
420.41, -0.0488413
420.411, -0.0488413
420.412, -0.0488413
420.413, -0.0488413
420.414, -0.0488413
420.415, -0.0488413
420.416, -0.0488413
420.417, -0.0488413
420.418, -0.0427596
420.419, -0.0427596
420.42, -0.0427596
420.421, -0.0427596
