# Simulation 1 (Up to date)
# 286 data points written for 19 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Thrust (N),Drag force (N)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
7.662,133.377,-5.359,0.036,5.359,0.094,19.884,0.004,19.884,0.012,2.368,0.087,NaN,NaN,NaN,NaN,100.595,0,0.989
8.162,130.694,-5.371,-0.024,5.371,0.258,18.732,0.004,18.732,0.012,2.24,0.257,NaN,NaN,NaN,NaN,100.595,0,0.983
8.662,128.012,-5.359,0.023,5.359,0.286,17.648,0.004,17.648,0.013,2.097,0.285,NaN,NaN,NaN,NaN,100.595,0,0.988
9.162,125.33,-5.368,-0.018,5.368,0.226,16.571,0.004,16.571,0.014,2.21,0.225,NaN,NaN,NaN,NaN,100.595,0,0.983
9.662,122.648,-5.359,0.019,5.359,0.283,15.501,0.004,15.501,0.014,2.069,0.282,NaN,NaN,NaN,NaN,100.595,0,0.987
10.162,119.967,-5.367,-0.017,5.367,0.017,14.467,0.004,14.467,0.015,2.068,0.003,NaN,NaN,NaN,NaN,100.595,0,0.983
10.662,117.285,-5.358,0.02,5.358,0.237,13.463,0.004,13.463,0.016,1.95,0.236,NaN,NaN,NaN,NaN,100.595,0,0.987
11.162,114.605,-5.365,-0.014,5.365,0.208,12.462,0.004,12.462,0.017,2.053,0.208,NaN,NaN,NaN,NaN,100.595,0,0.984
11.662,111.926,-5.352,0.026,5.352,0.517,11.371,0.004,11.371,0.019,2.312,0.516,NaN,NaN,NaN,NaN,100.595,0,0.989
12.162,109.246,-5.367,-0.03,5.367,0.191,10.238,0.004,10.238,0.021,2.217,0.188,NaN,NaN,NaN,NaN,100.595,0,0.982
12.662,106.566,-5.352,0.03,5.352,0.295,9.166,0.004,9.166,0.023,2.071,0.294,NaN,NaN,NaN,NaN,100.595,0,0.988
13.162,103.887,-5.364,-0.025,5.364,0.211,8.105,0.004,8.105,0.025,2.175,0.21,NaN,NaN,NaN,NaN,100.595,0,0.983
13.662,101.208,-5.35,0.028,5.35,0.387,7.065,0.004,7.065,0.029,1.983,0.385,NaN,NaN,NaN,NaN,100.595,0,0.989
14.162,98.53,-5.363,-0.026,5.363,0.231,6.103,0.004,6.103,0.033,1.868,0.23,NaN,NaN,NaN,NaN,100.595,0,0.983
14.662,95.852,-5.348,0.031,5.348,0.438,5.114,0.003,5.114,0.039,2.086,0.437,NaN,NaN,NaN,NaN,100.595,0,0.989
15.162,93.174,-5.364,-0.033,5.364,0.037,4.073,0.003,4.073,0.049,2.077,0.018,NaN,NaN,NaN,NaN,100.595,0,0.982
15.662,90.496,-5.348,0.032,5.348,0.213,3.061,0.003,3.061,0.064,1.972,0.211,NaN,NaN,NaN,NaN,100.595,0,0.988
16.162,87.818,-5.361,-0.026,5.361,0.102,2.063,0.003,2.063,0.094,2.021,0.099,NaN,NaN,NaN,NaN,100.595,0,0.982
16.662,85.141,-5.347,0.028,5.347,0.315,1.013,0.003,1.013,0.189,2.178,0.313,NaN,NaN,NaN,NaN,100.595,0,0.988
17.162,82.465,-5.357,-0.021,5.357,0.324,-0.036,0.003,0.036,174.726,2.016,0.323,NaN,NaN,NaN,NaN,100.595,0,0.983
17.662,79.791,-5.339,0.037,5.339,0.669,-0.96,0.003,0.96,179.806,1.682,0.668,NaN,NaN,NaN,NaN,100.595,0,0.991
18.162,77.116,-5.364,-0.049,5.364,0.153,-1.784,0.003,1.784,179.897,1.61,0.144,NaN,NaN,NaN,NaN,100.595,0,0.98
18.662,74.442,-5.333,0.062,5.333,0.619,-2.666,0.003,2.666,179.931,1.918,0.616,NaN,NaN,NaN,NaN,100.595,0,0.993
19.162,71.767,-5.366,-0.067,5.366,0.171,-3.605,0.003,3.605,179.95,1.839,0.157,NaN,NaN,NaN,NaN,100.595,0,0.978
19.662,69.091,-5.338,0.057,5.338,0.081,-4.532,0.003,4.532,179.961,1.868,0.058,NaN,NaN,NaN,NaN,100.595,0,0.991
20.162,66.418,-5.353,-0.031,5.353,0.514,-5.53,0.003,5.53,179.968,2.124,0.513,NaN,NaN,NaN,NaN,100.595,0,0.983
20.662,63.743,-5.346,0.016,5.346,0.122,-6.607,0.003,6.607,179.974,2.185,0.121,NaN,NaN,NaN,NaN,100.595,0,0.987
21.162,61.069,-5.35,-0.008,5.35,0.236,-7.67,0.003,7.67,179.978,2.067,0.235,NaN,NaN,NaN,NaN,100.595,0,0.984
21.662,58.396,-5.345,0.009,5.345,0.203,-8.679,0.003,8.679,179.98,1.966,0.203,NaN,NaN,NaN,NaN,100.595,0,0.986
22.162,55.724,-5.34,0.012,5.34,0.608,-9.737,0.003,9.737,179.983,2.27,0.608,NaN,NaN,NaN,NaN,100.595,0,0.988
22.662,53.051,-5.352,-0.026,5.352,0.114,-10.858,0.003,10.858,179.985,2.214,0.111,NaN,NaN,NaN,NaN,100.595,0,0.982
23.162,50.379,-5.338,0.028,5.338,0.323,-11.925,0.003,11.925,179.986,2.053,0.321,NaN,NaN,NaN,NaN,100.595,0,0.988
23.662,47.707,-5.349,-0.023,5.349,0.274,-12.986,0.003,12.986,179.988,2.19,0.273,NaN,NaN,NaN,NaN,100.595,0,0.983
24.162,45.035,-5.338,0.023,5.338,0.329,-14.04,0.003,14.04,179.989,2.026,0.329,NaN,NaN,NaN,NaN,100.595,0,0.988
24.662,42.363,-5.349,-0.021,5.349,0.137,-15.07,0.003,15.07,179.99,2.093,0.135,NaN,NaN,NaN,NaN,100.595,0,0.983
25.162,39.695,-5.327,0.044,5.327,0.704,-16.029,0.003,16.029,179.99,1.742,0.703,NaN,NaN,NaN,NaN,100.595,0,0.992
25.637,37.16,-5.352,-0.053,5.352,0.35,-16.895,0.003,16.895,179.991,1.906,0.346,NaN,NaN,NaN,NaN,100.595,0,0.98
26.137,34.488,-5.333,0.036,5.333,0.149,-17.83,0.003,17.83,179.992,1.834,0.145,NaN,NaN,NaN,NaN,100.595,0,0.989
26.637,31.82,-5.339,-0.011,5.339,0.586,-18.82,0.003,18.82,179.992,2.127,0.586,NaN,NaN,NaN,NaN,100.595,0,0.986
27.13,29.185,-5.337,0.004,5.337,0.427,-19.817,0.003,19.817,179.993,1.916,0.427,NaN,NaN,NaN,NaN,100.595,0,0.986
27.63,26.516,-5.342,-0.008,5.342,0.174,-20.797,0.003,20.797,179.993,2.003,0.174,NaN,NaN,NaN,NaN,100.595,0,0.984
28.13,23.847,-5.333,0.017,5.333,0.423,-21.745,0.002,21.745,179.994,1.791,0.423,NaN,NaN,NaN,NaN,100.595,0,0.988
28.568,21.513,-5.331,0.006,5.331,0.72,-22.598,0.002,22.598,179.994,2.106,0.72,NaN,NaN,NaN,NaN,100.595,0,0.988
29.016,19.122,-5.341,-0.024,5.342,0.258,-23.517,0.002,23.517,179.994,1.991,0.257,NaN,NaN,NaN,NaN,100.595,0,0.983
29.516,16.453,-5.333,0.017,5.333,0.232,-24.483,0.002,24.483,179.994,1.876,0.231,NaN,NaN,NaN,NaN,100.595,0,0.987
30.016,13.785,-5.339,-0.012,5.339,0.234,-25.392,0.002,25.392,179.995,1.759,0.234,NaN,NaN,NaN,NaN,100.595,0,0.984
30.516,11.119,-5.327,0.025,5.327,0.546,-26.34,0.002,26.34,179.995,2.031,0.545,NaN,NaN,NaN,NaN,100.595,0,0.989
31.016,8.452,-5.341,-0.03,5.341,0.272,-27.321,0.002,27.321,179.995,1.896,0.271,NaN,NaN,NaN,NaN,100.595,0,0.982
31.516,5.784,-5.329,0.024,5.329,0.107,-28.256,0.002,28.256,179.996,1.844,0.104,NaN,NaN,NaN,NaN,100.595,0,0.987
32.016,3.118,-5.338,-0.018,5.338,0.072,-29.187,0.002,29.187,179.996,1.879,0.07,NaN,NaN,NaN,NaN,100.595,0,0.983
32.516,0.452,-5.326,0.025,5.326,0.406,-30.177,0.002,30.177,179.996,2.082,0.405,NaN,NaN,NaN,NaN,100.595,0,0.988
# Event GROUND_HIT occurred at t=32.601 seconds
# Event SIMULATION_END occurred at t=32.601 seconds
32.601,0,-5.328,-0.027,5.328,0.085,-30.354,0.002,30.354,179.996,2.088,0.081,NaN,NaN,NaN,NaN,100.595,0,0.982
