# Simulation 1 (Up to date)
# 279 data points written for 19 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Thrust (N),Drag force (N)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
3.518,120.151,24.329,-13.033,24.821,13.037,15.562,0.001,15.562,0.004,4.915,0.322,0.66,-4.158e-8,-0.018,-1.556e-5,100.595,0,0.322
3.548,120.884,23.934,-12.946,24.432,12.949,15.711,0.001,15.711,0.004,4.907,0.271,0.721,-8.183e-8,-0.008,-3.356e-6,100.595,0,0.312
3.579,121.605,23.543,-12.825,24.047,12.829,15.86,0.001,15.86,0.005,4.898,0.337,0.629,-8.447e-8,0.002,5.319e-6,100.595,0,0.303
3.615,122.446,23.083,-12.65,23.594,12.661,16.036,0.001,16.036,0.005,4.883,0.533,0.347,-8.587e-8,0.011,-6.282e-6,100.595,0,0.291
3.665,123.585,22.457,-12.397,22.974,12.429,16.28,0.001,16.28,0.005,4.846,0.886,0.205,-1.058e-7,-0.012,-7.632e-6,100.595,0,0.276
3.715,124.692,21.843,-12.175,22.363,12.232,16.521,0.001,16.521,0.005,4.794,1.182,0.712,-1.047e-7,-0.003,9.264e-7,100.595,0,0.263
3.75,125.466,21.41,-12.035,21.931,12.11,16.691,0.001,16.691,0.005,4.748,1.349,1.019,-8.251e-8,0.011,-2.794e-6,100.595,0,0.254
3.777,126.029,21.093,-11.962,21.613,12.038,16.817,0.001,16.817,0.005,4.712,1.347,1.064,-8.537e-8,0.022,2.579e-6,100.595,0,0.247
3.803,126.58,20.778,-11.91,21.299,11.977,16.94,0.001,16.94,0.005,4.678,1.264,0.979,-7.097e-8,0.033,3.462e-6,100.595,0,0.24
3.833,127.19,20.426,-11.897,20.947,11.938,17.078,0.001,17.078,0.005,4.644,0.993,0.581,-9.986e-8,0.041,1.765e-6,100.595,0,0.231
3.877,128.086,19.898,-11.845,20.424,11.87,17.284,0.002,17.284,0.005,4.607,0.765,0.22,-1.939e-7,0.046,1.411e-5,100.595,0,0.22
3.927,129.066,19.307,-11.791,19.841,11.804,17.513,0.002,17.513,0.005,4.573,0.542,0.18,-2.014e-7,-0.047,5.425e-5,100.595,0,0.208
3.977,130.017,18.719,-11.687,19.264,11.698,17.741,0.002,17.741,0.005,4.55,0.52,0.22,-9.592e-8,-0.041,2.491e-5,100.595,0,0.197
4.027,130.938,18.138,-11.582,18.693,11.593,17.968,0.002,17.968,0.005,4.522,0.509,0.234,-4.431e-8,-0.04,2.521e-5,100.595,0,0.187
4.077,131.831,17.561,-11.461,18.128,11.474,18.194,0.002,18.194,0.005,4.498,0.553,0.116,-7.524e-8,-0.034,7.031e-5,100.595,0,0.177
4.127,132.695,16.992,-11.349,17.569,11.364,18.418,0.002,18.418,0.006,4.468,0.578,0.024,-7.758e-8,-0.035,2.64e-4,100.595,0,0.167
4.177,133.53,16.427,-11.239,17.016,11.255,18.641,0.002,18.641,0.006,4.439,0.602,0.08,-1.115e-7,0.034,8.345e-5,100.595,0,0.158
4.227,134.337,15.868,-11.12,16.469,11.14,18.862,0.002,18.862,0.006,4.407,0.664,0.298,-7.463e-8,0.037,7.553e-6,100.595,0,0.149
4.277,135.117,15.314,-11.036,15.927,11.054,19.081,0.002,19.081,0.006,4.374,0.634,0.282,-9.996e-8,0.041,2.048e-5,100.595,0,0.14
4.327,135.869,14.764,-10.971,15.39,10.985,19.299,0.002,19.299,0.006,4.344,0.561,0.133,-1.186e-7,0.042,5.144e-5,100.595,0,0.131
4.377,136.593,14.217,-10.929,14.858,10.938,19.516,0.002,19.516,0.006,4.318,0.441,0.198,-7.678e-8,-0.042,5.179e-5,100.595,0,0.122
4.427,137.291,13.671,-10.871,14.331,10.878,19.731,0.002,19.731,0.006,4.299,0.373,0.383,-8.534e-8,-0.038,3.29e-5,100.595,0,0.114
4.477,137.961,13.13,-10.793,13.81,10.799,19.946,0.002,19.946,0.006,4.28,0.363,0.37,-1.123e-7,-0.035,3.24e-5,100.595,0,0.106
4.527,138.604,12.592,-10.711,13.294,10.717,20.159,0.002,20.159,0.006,4.262,0.364,0.3,-8.059e-8,-0.032,2.413e-5,100.595,0,0.099
4.577,139.22,12.059,-10.62,12.784,10.628,20.372,0.002,20.372,0.006,4.244,0.389,0.106,-9.729e-8,-0.03,3.354e-5,100.595,0,0.092
4.627,139.81,11.53,-10.516,12.279,10.526,20.583,0.002,20.583,0.006,4.223,0.453,0.311,-1.047e-7,0.03,-1.666e-5,100.595,0,0.085
4.677,140.373,11.008,-10.402,11.781,10.416,20.794,0.002,20.794,0.006,4.198,0.547,0.922,-1.153e-7,0.034,-1.869e-5,100.595,0,0.08
4.727,140.911,10.49,-10.311,11.288,10.328,21.003,0.002,21.003,0.007,4.169,0.596,1.366,-8.855e-8,0.041,-1.738e-5,100.595,0,0.074
4.777,141.422,9.976,-10.234,10.801,10.253,21.211,0.002,21.211,0.007,4.139,0.624,1.731,-1.277e-7,0.049,-1.915e-5,100.595,0,0.069
4.827,141.908,9.466,-10.154,10.319,10.176,21.417,0.003,21.417,0.007,4.107,0.663,2.195,-4.168e-8,0.059,-1.48e-5,100.595,0,0.065
# Event EJECTION_CHARGE occurred at t=4.86 seconds
4.86,142.212,9.135,-10.124,10.007,10.145,21.551,0.003,21.551,0.007,4.085,0.641,2.245,-9.615e-8,0.067,-1.633e-5,100.595,0,0.062
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=4.861 seconds
4.863,142.235,9.11,-10.126,9.983,10.145,21.561,0.003,21.561,0.007,4.083,0.632,2.206,-8.811e-8,0.067,-1.537e-5,100.595,0,0.061
4.864,142.244,9.066,-43.508,10.845,48.804,21.565,0.003,21.565,0.007,4.061,22.109,NaN,NaN,NaN,NaN,100.595,0,4.056
4.866,142.268,8.951,-43.191,10.715,48.43,21.576,0.003,21.576,0.007,4.003,21.909,NaN,NaN,NaN,NaN,100.595,0,4.018
4.869,142.292,8.837,-42.358,10.581,47.45,21.587,0.003,21.587,0.007,3.945,21.384,NaN,NaN,NaN,NaN,100.595,0,3.919
4.872,142.317,8.721,-41.539,10.446,46.486,21.598,0.003,21.598,0.007,3.887,20.867,NaN,NaN,NaN,NaN,100.595,0,3.822
4.875,142.342,8.603,-40.721,10.309,45.523,21.609,0.003,21.609,0.007,3.828,20.351,NaN,NaN,NaN,NaN,100.595,0,3.724
4.878,142.367,8.484,-39.902,10.17,44.56,21.62,0.003,21.62,0.007,3.769,19.835,NaN,NaN,NaN,NaN,100.595,0,3.627
4.881,142.393,8.363,-39.085,10.029,43.599,21.632,0.003,21.632,0.007,3.709,19.319,NaN,NaN,NaN,NaN,100.595,0,3.53
4.884,142.42,8.241,-38.268,9.887,42.638,21.643,0.003,21.643,0.007,3.649,18.804,NaN,NaN,NaN,NaN,100.595,0,3.433
4.887,142.447,8.117,-37.452,9.743,41.679,21.655,0.003,21.655,0.007,3.588,18.289,NaN,NaN,NaN,NaN,100.595,0,3.336
4.891,142.475,7.991,-36.637,9.596,40.72,21.668,0.003,21.668,0.007,3.527,17.774,NaN,NaN,NaN,NaN,100.595,0,3.239
4.894,142.503,7.863,-35.822,9.448,39.763,21.68,0.003,21.68,0.007,3.466,17.26,NaN,NaN,NaN,NaN,100.595,0,3.142
4.898,142.532,7.734,-35.008,9.297,38.807,21.693,0.003,21.693,0.007,3.404,16.746,NaN,NaN,NaN,NaN,100.595,0,3.045
4.902,142.561,7.602,-34.195,9.144,37.852,21.706,0.003,21.706,0.007,3.341,16.232,NaN,NaN,NaN,NaN,100.595,0,2.948
4.906,142.593,7.461,-33.403,8.989,36.941,21.72,0.003,21.72,0.007,3.275,15.775,NaN,NaN,NaN,NaN,100.595,0,2.856
4.911,142.628,7.309,-32.599,8.831,36.041,21.735,0.003,21.735,0.007,3.203,15.372,NaN,NaN,NaN,NaN,100.595,0,2.767
4.915,142.663,7.153,-31.743,8.672,35.084,21.75,0.003,21.75,0.007,3.129,14.943,NaN,NaN,NaN,NaN,100.595,0,2.671
4.921,142.699,6.995,-30.891,8.51,34.131,21.766,0.003,21.766,0.007,3.055,14.515,NaN,NaN,NaN,NaN,100.595,0,2.576
4.926,142.736,6.833,-30.04,8.345,33.179,21.782,0.003,21.782,0.007,2.979,14.087,NaN,NaN,NaN,NaN,100.595,0,2.481
4.932,142.775,6.668,-29.191,8.177,32.228,21.799,0.003,21.799,0.007,2.902,13.659,NaN,NaN,NaN,NaN,100.595,0,2.387
4.938,142.814,6.499,-28.343,8.006,31.28,21.816,0.003,21.816,0.007,2.823,13.232,NaN,NaN,NaN,NaN,100.595,0,2.292
4.944,142.854,6.325,-27.497,7.832,30.333,21.834,0.003,21.834,0.007,2.742,12.805,NaN,NaN,NaN,NaN,100.595,0,2.198
4.951,142.896,6.148,-26.653,7.655,29.388,21.852,0.003,21.852,0.007,2.66,12.379,NaN,NaN,NaN,NaN,100.595,0,2.104
4.958,142.939,5.966,-25.81,7.474,28.442,21.87,0.003,21.87,0.007,2.576,11.95,NaN,NaN,NaN,NaN,100.595,0,2.01
4.965,142.981,5.784,-24.961,7.289,27.478,21.889,0.003,21.889,0.007,2.492,11.49,NaN,NaN,NaN,NaN,100.595,0,1.914
4.973,143.026,5.597,-24.135,7.099,26.541,21.908,0.003,21.908,0.007,2.406,11.042,NaN,NaN,NaN,NaN,100.595,0,1.821
4.981,143.071,5.404,-23.311,6.905,25.606,21.927,0.003,21.927,0.007,2.318,10.595,NaN,NaN,NaN,NaN,100.595,0,1.728
4.99,143.118,5.205,-22.49,6.706,24.673,21.947,0.003,21.947,0.007,2.229,10.148,NaN,NaN,NaN,NaN,100.595,0,1.635
4.999,143.167,4.999,-21.672,6.502,23.744,21.968,0.003,21.968,0.007,2.136,9.701,NaN,NaN,NaN,NaN,100.595,0,1.543
5.01,143.217,4.785,-20.858,6.292,22.819,21.989,0.003,21.989,0.007,2.042,9.255,NaN,NaN,NaN,NaN,100.595,0,1.451
5.02,143.266,4.573,-20.029,6.076,21.86,22.011,0.003,22.011,0.007,1.949,8.758,NaN,NaN,NaN,NaN,100.595,0,1.355
5.032,143.317,4.353,-19.239,5.853,20.944,22.032,0.003,22.032,0.007,1.854,8.279,NaN,NaN,NaN,NaN,100.595,0,1.264
5.044,143.37,4.123,-18.453,5.622,20.035,22.055,0.003,22.055,0.007,1.757,7.801,NaN,NaN,NaN,NaN,100.595,0,1.173
5.058,143.425,3.882,-17.674,5.384,19.131,22.078,0.003,22.078,0.007,1.657,7.324,NaN,NaN,NaN,NaN,100.595,0,1.082
5.073,143.482,3.623,-16.907,5.138,18.25,22.103,0.003,22.103,0.007,1.552,6.871,NaN,NaN,NaN,NaN,100.595,0,0.995
5.09,143.542,3.344,-16.138,4.884,17.372,22.129,0.003,22.129,0.007,1.441,6.43,NaN,NaN,NaN,NaN,100.595,0,0.909
5.11,143.604,3.047,-15.365,4.621,16.488,22.155,0.003,22.155,0.007,1.325,5.983,NaN,NaN,NaN,NaN,100.595,0,0.822
5.13,143.662,2.754,-14.57,4.344,15.552,22.181,0.003,22.181,0.007,1.216,5.44,NaN,NaN,NaN,NaN,100.595,0,0.728
5.151,143.717,2.464,-13.821,4.046,14.646,22.205,0.003,22.205,0.007,1.114,4.845,NaN,NaN,NaN,NaN,100.595,0,0.634
5.175,143.773,2.144,-13.146,3.734,13.833,22.231,0.003,22.231,0.007,1.009,4.306,NaN,NaN,NaN,NaN,100.595,0,0.549
5.208,143.837,1.734,-12.52,3.416,13.115,22.262,0.003,22.262,0.007,0.881,3.908,NaN,NaN,NaN,NaN,100.595,0,0.479
5.245,143.893,1.293,-11.801,3.094,12.282,22.293,0.003,22.293,0.007,0.754,3.404,NaN,NaN,NaN,NaN,100.595,0,0.398
5.285,143.936,0.849,-11.113,2.739,11.454,22.321,0.003,22.321,0.007,0.643,2.775,NaN,NaN,NaN,NaN,100.595,0,0.309
# Event APOGEE occurred at t=5.365 seconds
5.365,143.97,-9.916e-4,-10.621,2.534,10.955,22.363,0.003,22.363,0.007,0.428,2.685,NaN,NaN,NaN,NaN,100.595,0,0.283
5.45,143.934,-0.836,-9.791,2.524,10.046,22.392,0.003,22.392,0.008,0.236,2.249,NaN,NaN,NaN,NaN,100.595,0,0.226
5.555,143.797,-1.791,-9.118,2.71,9.292,22.407,0.003,22.407,0.008,0.049,1.791,NaN,NaN,NaN,NaN,100.595,0,0.192
5.666,143.548,-2.697,-8.173,3.226,8.364,22.401,0.003,22.401,0.008,0.148,1.777,NaN,NaN,NaN,NaN,100.595,0,0.242
5.745,143.312,-3.238,-6.801,3.645,7.1,22.383,0.003,22.383,0.008,0.31,2.036,NaN,NaN,NaN,NaN,100.595,0,0.364
5.828,143.024,-3.723,-5.864,3.962,6.142,22.351,0.003,22.351,0.008,0.461,1.828,NaN,NaN,NaN,NaN,100.595,0,0.436
5.907,142.715,-4.107,-4.872,4.23,5.095,22.31,0.003,22.31,0.008,0.579,1.491,NaN,NaN,NaN,NaN,100.595,0,0.517
5.986,142.381,-4.41,-3.866,4.513,4.167,22.26,0.003,22.26,0.008,0.701,1.554,NaN,NaN,NaN,NaN,100.595,0,0.616
6.074,141.981,-4.673,-2.985,4.767,3.425,22.192,0.003,22.192,0.008,0.849,1.679,NaN,NaN,NaN,NaN,100.595,0,0.705
6.186,141.442,-4.921,-2.204,4.988,2.737,22.086,0.003,22.086,0.008,1.031,1.622,NaN,NaN,NaN,NaN,100.595,0,0.781
6.322,140.758,-5.122,-1.472,5.153,1.926,21.934,0.003,21.934,0.008,1.2,1.242,NaN,NaN,NaN,NaN,100.595,0,0.846
6.522,139.72,-5.285,-0.818,5.299,1.325,21.674,0.003,21.674,0.008,1.408,1.042,NaN,NaN,NaN,NaN,100.595,0,0.909
6.805,138.21,-5.365,-0.282,5.367,0.652,21.251,0.003,21.251,0.009,1.575,0.588,NaN,NaN,NaN,NaN,100.595,0,0.958
7.305,135.528,-5.363,0.004,5.363,0.504,20.4,0.003,20.4,0.009,1.827,0.504,NaN,NaN,NaN,NaN,100.595,0,0.987
7.805,132.848,-5.358,0.011,5.358,0.693,19.4,0.003,19.4,0.009,2.173,0.693,NaN,NaN,NaN,NaN,100.595,0,0.989
8.305,130.165,-5.371,-0.027,5.371,0.266,18.281,0.003,18.281,0.01,2.306,0.264,NaN,NaN,NaN,NaN,100.595,0,0.983
8.805,127.483,-5.358,0.026,5.358,0.302,17.09,0.003,17.09,0.01,2.456,0.301,NaN,NaN,NaN,NaN,100.595,0,0.988
9.305,124.802,-5.365,-0.013,5.365,0.451,15.918,0.003,15.918,0.011,2.231,0.451,NaN,NaN,NaN,NaN,100.595,0,0.985
9.805,122.12,-5.363,0.004,5.363,0.156,14.783,0.003,14.783,0.012,2.309,0.156,NaN,NaN,NaN,NaN,100.595,0,0.986
10.305,119.439,-5.364,-0.002,5.364,0.047,13.635,0.003,13.635,0.012,2.285,0.047,NaN,NaN,NaN,NaN,100.595,0,0.985
10.805,116.759,-5.356,0.016,5.356,0.48,12.552,0.003,12.552,0.013,2.045,0.479,NaN,NaN,NaN,NaN,100.595,0,0.988
11.305,114.078,-5.366,-0.021,5.366,0.171,11.509,0.003,11.509,0.014,2.13,0.17,NaN,NaN,NaN,NaN,100.595,0,0.983
11.805,111.398,-5.355,0.024,5.355,0.327,10.484,0.003,10.484,0.015,1.967,0.326,NaN,NaN,NaN,NaN,100.595,0,0.988
12.305,108.718,-5.366,-0.022,5.366,0.053,9.507,0.003,9.507,0.017,1.943,0.048,NaN,NaN,NaN,NaN,100.595,0,0.983
12.805,106.038,-5.355,0.022,5.355,0.162,8.515,0.003,8.515,0.018,2.023,0.16,NaN,NaN,NaN,NaN,100.595,0,0.987
13.305,103.359,-5.36,-0.011,5.36,0.341,7.546,0.003,7.546,0.021,1.853,0.341,NaN,NaN,NaN,NaN,100.595,0,0.984
13.805,100.68,-5.357,0.007,5.357,0.124,6.605,0.003,6.605,0.023,1.915,0.124,NaN,NaN,NaN,NaN,100.595,0,0.986
14.305,98.001,-5.356,0.003,5.356,0.351,5.603,0.003,5.603,0.027,2.09,0.351,NaN,NaN,NaN,NaN,100.595,0,0.986
14.805,95.324,-5.355,0.002,5.355,0.383,4.51,0.003,4.51,0.033,2.282,0.383,NaN,NaN,NaN,NaN,100.595,0,0.986
15.305,92.646,-5.356,-0.003,5.356,0.256,3.401,0.003,3.401,0.043,2.154,0.256,NaN,NaN,NaN,NaN,100.595,0,0.985
15.805,89.968,-5.355,0.002,5.355,0.133,2.341,0.003,2.341,0.061,2.087,0.133,NaN,NaN,NaN,NaN,100.595,0,0.985
16.305,87.291,-5.355,6.111e-5,5.355,0.104,1.285,0.002,1.285,0.11,2.139,0.104,NaN,NaN,NaN,NaN,100.595,0,0.985
16.805,84.613,-5.354,0.002,5.354,0.051,0.209,0.002,0.209,0.667,2.165,0.051,NaN,NaN,NaN,NaN,100.595,0,0.985
17.305,81.936,-5.354,7.171e-4,5.354,0.029,-0.878,0.002,0.878,179.844,2.179,0.029,NaN,NaN,NaN,NaN,100.595,0,0.985
17.805,79.262,-5.343,0.021,5.343,0.614,-1.891,0.002,1.891,179.929,1.873,0.613,NaN,NaN,NaN,NaN,100.595,0,0.989
18.305,76.586,-5.36,-0.034,5.36,0.046,-2.823,0.002,2.823,179.953,1.857,0.031,NaN,NaN,NaN,NaN,100.595,0,0.982
18.805,73.91,-5.343,0.035,5.343,0.302,-3.714,0.002,3.714,179.965,1.707,0.3,NaN,NaN,NaN,NaN,100.595,0,0.989
19.305,71.236,-5.353,-0.021,5.353,0.451,-4.624,0.002,4.624,179.972,1.933,0.451,NaN,NaN,NaN,NaN,100.595,0,0.984
19.805,68.561,-5.348,0.01,5.348,0.118,-5.576,0.002,5.576,179.977,1.874,0.118,NaN,NaN,NaN,NaN,100.595,0,0.986
20.305,65.886,-5.351,-0.006,5.351,0.141,-6.53,0.002,6.53,179.981,1.944,0.141,NaN,NaN,NaN,NaN,100.595,0,0.985
20.805,63.212,-5.345,0.013,5.345,0.357,-7.547,0.002,7.547,179.984,2.123,0.356,NaN,NaN,NaN,NaN,100.595,0,0.987
21.305,60.539,-5.349,-0.008,5.349,0.361,-8.563,0.002,8.563,179.986,1.942,0.361,NaN,NaN,NaN,NaN,100.595,0,0.985
21.805,57.865,-5.346,0.005,5.346,0.229,-9.562,0.002,9.562,179.988,2.056,0.229,NaN,NaN,NaN,NaN,100.595,0,0.986
22.305,55.193,-5.346,0.001,5.346,0.324,-10.631,0.002,10.631,179.989,2.218,0.324,NaN,NaN,NaN,NaN,100.595,0,0.986
22.805,52.52,-5.346,-1.142e-4,5.346,0.27,-11.707,0.002,11.707,179.99,2.084,0.27,NaN,NaN,NaN,NaN,100.595,0,0.985
23.305,49.847,-5.346,-7.537e-4,5.346,0.091,-12.737,0.002,12.737,179.991,2.038,0.091,NaN,NaN,NaN,NaN,100.595,0,0.985
23.805,47.174,-5.344,0.003,5.344,0.113,-13.77,0.002,13.77,179.992,2.094,0.113,NaN,NaN,NaN,NaN,100.595,0,0.985
24.305,44.503,-5.342,0.004,5.342,0.305,-14.855,0.002,14.855,179.993,2.247,0.305,NaN,NaN,NaN,NaN,100.595,0,0.986
24.805,41.831,-5.344,-0.003,5.344,0.22,-15.951,0.002,15.951,179.993,2.137,0.22,NaN,NaN,NaN,NaN,100.595,0,0.985
25.305,39.16,-5.342,0.003,5.342,0.129,-17.036,0.002,17.036,179.994,2.201,0.129,NaN,NaN,NaN,NaN,100.595,0,0.985
25.805,36.489,-5.341,0.002,5.341,0.235,-18.107,0.002,18.107,179.995,2.084,0.235,NaN,NaN,NaN,NaN,100.595,0,0.985
26.305,33.819,-5.339,0.006,5.339,0.377,-19.196,0.002,19.196,179.995,2.272,0.377,NaN,NaN,NaN,NaN,100.595,0,0.986
26.805,31.149,-5.339,-4.909e-4,5.339,0.419,-20.28,0.002,20.28,179.995,2.063,0.419,NaN,NaN,NaN,NaN,100.595,0,0.986
27.305,28.479,-5.341,-0.005,5.341,0.174,-21.29,0.002,21.29,179.996,1.976,0.174,NaN,NaN,NaN,NaN,100.595,0,0.985
27.805,25.81,-5.338,0.007,5.338,0.209,-22.304,0.002,22.304,179.996,2.08,0.208,NaN,NaN,NaN,NaN,100.595,0,0.986
28.305,23.14,-5.34,-0.004,5.34,0.183,-23.321,0.002,23.321,179.996,1.988,0.183,NaN,NaN,NaN,NaN,100.595,0,0.985
28.805,20.471,-5.336,0.006,5.336,0.217,-24.342,0.001,24.342,179.996,2.097,0.217,NaN,NaN,NaN,NaN,100.595,0,0.986
29.305,17.803,-5.337,-0.001,5.337,0.284,-25.355,0.001,25.355,179.997,1.955,0.284,NaN,NaN,NaN,NaN,100.595,0,0.985
29.805,15.136,-5.332,0.011,5.332,0.478,-26.273,0.001,26.273,179.997,1.716,0.478,NaN,NaN,NaN,NaN,100.595,0,0.987
30.305,12.468,-5.341,-0.018,5.341,0.031,-27.134,0.001,27.134,179.997,1.729,0.025,NaN,NaN,NaN,NaN,100.595,0,0.983
30.805,9.8,-5.329,0.024,5.329,0.352,-27.954,0.001,27.954,179.997,1.553,0.351,NaN,NaN,NaN,NaN,100.595,0,0.988
31.294,7.197,-5.329,-7.587e-4,5.329,0.672,-28.793,0.001,28.793,179.997,1.881,0.672,NaN,NaN,NaN,NaN,100.595,0,0.987
31.794,4.53,-5.339,-0.02,5.339,0.022,-29.733,0.001,29.733,179.998,1.877,0.008,NaN,NaN,NaN,NaN,100.595,0,0.983
32.294,1.863,-5.328,0.022,5.328,0.239,-30.642,0.001,30.642,179.998,1.758,0.238,NaN,NaN,NaN,NaN,100.595,0,0.988
# Event GROUND_HIT occurred at t=32.644 seconds
# Event SIMULATION_END occurred at t=32.644 seconds
32.644,0,-5.324,0.011,5.326,0.768,-31.304,0.001,31.304,179.998,2.027,0.768,NaN,NaN,NaN,NaN,100.595,0,0.989
