# Simulation 1 (Up to date)
# 279 data points written for 19 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Thrust (N),Drag force (N)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.526,6.18,22.696,27.778,22.703,28.945,0.002,-8.426e-7,0.002,-0.028,0.558,8.135,3.025,0,-0.07,-2.381e-6,107.611,4.404,0.274
0.536,6.41,22.975,27.57,22.984,28.835,0.008,-9.434e-7,0.008,-0.007,0.642,8.447,3.192,-5.426e-9,-0.059,-8.755e-7,107.557,4.394,0.281
0.545,6.627,23.232,27.387,23.243,28.73,0.014,-1.046e-6,0.014,-0.004,0.722,8.683,3.303,0,-0.047,-3.093e-6,107.507,4.384,0.288
0.554,6.834,23.474,27.232,23.488,28.625,0.021,-1.152e-6,0.021,-0.003,0.8,8.82,3.326,0,-0.036,-2.788e-6,107.459,4.375,0.294
0.563,7.039,23.709,27.101,23.725,28.515,0.028,-1.265e-6,0.028,-0.003,0.877,8.868,3.27,0,-0.025,-2.197e-6,107.413,4.367,0.3
0.572,7.244,23.942,26.982,23.961,28.401,0.036,-1.387e-6,0.036,-0.002,0.953,8.865,3.181,0,-0.014,-2.748e-6,107.367,4.359,0.306
0.58,7.453,24.176,26.875,24.198,28.282,0.045,-1.52e-6,0.045,-0.002,1.03,8.811,3.061,0,-0.003,-3.214e-6,107.321,4.35,0.312
0.589,7.668,24.413,26.777,24.438,28.156,0.054,-1.666e-6,0.054,-0.002,1.107,8.704,2.908,0,0.008,-1.667e-6,107.274,4.342,0.317
0.598,7.891,24.655,26.688,24.684,28.021,0.065,-1.829e-6,0.065,-0.002,1.185,8.54,2.72,0,0.019,-1.138e-6,107.225,4.333,0.323
0.608,8.126,24.908,26.612,24.94,27.873,0.076,-2.012e-6,0.076,-0.002,1.265,8.287,2.463,0,0.03,-1.725e-6,107.175,4.324,0.329
0.618,8.383,25.18,26.544,25.216,27.708,0.09,-2.224e-6,0.09,-0.001,1.349,7.949,2.15,0,0.04,1.58e-6,107.12,4.314,0.335
0.629,8.674,25.484,26.477,25.524,27.521,0.106,-2.478e-6,0.106,-0.001,1.437,7.509,1.77,7.742e-9,0.051,2.197e-6,107.059,4.304,0.342
0.643,9.023,25.842,26.408,25.888,27.299,0.126,-2.797e-6,0.126,-0.001,1.535,6.917,1.293,1.037e-8,0.06,2.22e-6,106.986,4.292,0.351
0.661,9.496,26.32,26.316,26.372,27.012,0.155,-3.246e-6,0.155,-0.001,1.653,6.091,0.683,7.227e-9,0.069,-1.569e-6,106.89,4.276,0.363
0.688,10.222,27.044,26.68,27.104,27.125,0.202,-3.932e-6,0.202,-0.001,1.803,4.896,0.172,-4.261e-8,-0.072,2.629e-6,106.743,4.311,0.383
0.729,11.35,28.16,27.165,28.229,27.367,0.279,-4.756e-6,0.279,-9.762e-4,1.969,3.318,1.12,-3.97e-8,-0.055,7.862e-6,106.525,4.367,0.416
0.746,11.811,28.576,25.534,28.647,25.663,0.312,-4.97e-6,0.312,-9.142e-4,2.015,2.563,1.401,1.024e-8,-0.042,-3.452e-6,106.44,4.196,0.43
0.759,12.188,28.915,25.794,28.988,25.895,0.338,-5.084e-6,0.338,-8.613e-4,2.047,2.278,1.543,0,-0.031,-3.656e-6,106.37,4.229,0.44
0.77,12.528,29.22,26.004,29.293,26.089,0.362,-5.135e-6,0.362,-8.121e-4,2.073,2.105,1.62,0,-0.019,1.33e-6,106.309,4.257,0.45
0.781,12.849,29.506,26.185,29.58,26.263,0.385,-5.135e-6,0.385,-7.641e-4,2.095,2.024,1.644,0,-0.008,-3.805e-6,106.251,4.282,0.459
0.792,13.162,29.785,26.35,29.86,26.428,0.407,-5.09e-6,0.407,-7.16e-4,2.117,2.026,1.623,0,0.003,-4.986e-6,106.195,4.306,0.468
0.802,13.476,30.063,26.504,30.139,26.588,0.43,-4.997e-6,0.43,-6.664e-4,2.138,2.108,1.56,0,0.014,-2.826e-6,106.14,4.33,0.476
0.813,13.799,30.348,26.65,30.425,26.748,0.453,-4.851e-6,0.453,-6.141e-4,2.162,2.281,1.448,0,0.025,-7.748e-6,106.084,4.353,0.485
0.824,14.143,30.652,26.792,30.73,26.913,0.477,-4.639e-6,0.477,-5.57e-4,2.189,2.547,1.291,0,0.036,-5.093e-6,106.024,4.378,0.494
0.837,14.526,30.987,26.931,31.066,27.09,0.505,-4.339e-6,0.505,-4.927e-4,2.223,2.929,1.08,-7.431e-9,0.046,-5.168e-6,105.958,4.404,0.504
0.851,14.98,31.382,27.07,31.464,27.291,0.537,-3.901e-6,0.537,-4.16e-4,2.27,3.466,0.798,1.446e-8,0.056,-1.376e-8,105.882,4.434,0.516
0.871,15.592,31.905,26.949,31.991,27.264,0.582,-3.191e-6,0.582,-3.143e-4,2.344,4.131,0.479,-1.822e-8,0.065,-9.255e-6,105.777,4.443,0.533
0.9,16.528,32.678,26.504,32.772,27.014,0.652,-1.916e-6,0.652,-1.684e-4,2.479,5.224,0.029,3.668e-8,-0.069,6.245e-5,105.621,4.432,0.559
0.943,17.974,33.811,25.76,33.923,26.688,0.765,1.204e-7,0.765,9.02e-6,2.749,6.976,0.837,-1.891e-7,-0.051,2.216e-5,105.387,4.416,0.6
0.957,18.458,34.175,25.451,34.293,26.509,0.805,7.096e-7,0.805,5.05e-5,2.853,7.417,1.009,-7.104e-9,-0.038,5.806e-6,105.31,4.403,0.614
0.97,18.883,34.488,25.279,34.613,26.378,0.841,1.177e-6,0.841,8.022e-5,2.945,7.533,1.021,7.037e-9,-0.027,-5.406e-7,105.243,4.397,0.626
0.982,19.299,34.791,25.137,34.923,26.242,0.877,1.593e-6,0.877,1.041e-4,3.036,7.535,0.983,-9.747e-9,-0.016,1.231e-5,105.178,4.392,0.637
0.994,19.728,35.098,25.013,35.237,26.093,0.915,1.983e-6,0.915,1.242e-4,3.128,7.43,0.899,0,-0.005,2.115e-6,105.112,4.387,0.649
1.007,20.191,35.426,24.897,35.572,25.928,0.956,2.372e-6,0.956,1.421e-4,3.224,7.239,0.785,0,0.005,8.329e-6,105.041,4.381,0.661
1.022,20.716,35.791,24.785,35.946,25.736,1.005,2.785e-6,1.005,1.588e-4,3.329,6.934,0.627,-5.451e-9,0.015,2.82e-6,104.962,4.375,0.675
1.04,21.366,36.237,24.672,36.401,25.494,1.066,3.282e-6,1.066,1.764e-4,3.449,6.424,0.386,-6.432e-9,0.024,-9.42e-6,104.865,4.367,0.692
1.067,22.356,36.902,24.508,37.078,25.148,1.161,4.049e-6,1.161,1.998e-4,3.612,5.638,0.053,4.391e-8,0.03,-7.352e-5,104.719,4.357,0.717
1.108,23.874,37.892,24.312,38.084,24.753,1.312,5.252e-6,1.312,2.293e-4,3.818,4.652,0.317,-3.928e-8,-0.022,1.005e-5,104.503,4.353,0.756
1.136,24.972,38.588,24.157,38.789,24.519,1.424,6.085e-6,1.424,2.449e-4,3.943,4.197,0.461,-1.784e-8,-0.009,8.891e-6,104.349,4.353,0.785
1.157,25.766,39.081,24.009,39.288,24.36,1.505,6.557e-6,1.505,2.496e-4,4.027,4.12,0.466,-1.88e-8,0.002,-5.264e-7,104.24,4.353,0.805
1.177,26.549,39.557,23.838,39.77,24.21,1.586,6.87e-6,1.586,2.482e-4,4.11,4.228,0.408,-2.657e-8,0.013,-9.049e-6,104.134,4.353,0.824
